File Name,Variable Name,Brief Description,Variable Type,Variable Length,Values,Required ,Null Value
Dataset One NEMS-C,Q100e,Fat (g)/serving regular fat hot dog,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q100f,Kcal/serving regular fat hot dog,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q100g,Sodium/serving regular fat hot dog,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q101,Comments regular fat hot dog,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q102_1,Available frozen dinners reduced fat,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q102_2,Available frozen dinners regular ,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q102_3,Available frozen dinners none,Integer,255,"0=not selected, 1=selected",No,Yes
Dataset One NEMS-C,Q103,Shelf Space (reduced fat/regular) frozen dinners,Integer,255,"1=less than 25%, 2=25% to 49%, 3=50% to 74%, 4=at least 75%",No,Yes
Dataset One NEMS-C,Q104a,Brand reduced fat lasagna,Integer,255,"1=Lean Cuisine, 2=Healthy Choice, 3=Smart Ones, 4=other",No,Yes
Dataset One NEMS-C,Q104b,Price reduced fat lasagna,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q104c,Oz reduced fat lasagna,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q104d,Fat grams reduced fat lasagna,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q104e,Kcal reduced fat lasagna,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q105,Comments reduced fat lasagna,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q106a,Brand reduced fat roasted turkey breast,Integer,255,"1=Lean Cuisine, 2=Healthy Choice, 3=Smart Ones, 4=other",No,Yes
Dataset One NEMS-C,Q106b,Price reduced fat roasted turkey breast,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q106c,Oz reduced fat roasted turkey breast,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q106d,Fat grams reduced fat roasted turkey breast,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q106e,Kcal reduced fat roasted turkey breast,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q107,Comments reduced fat roasted turkey breast,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q108a,Brand reduced fat meatloaf,Integer,255,"1=Lean Cuisine, 2=Healthy Choice, 3=Smart Ones, 4=other",No,Yes
Dataset One NEMS-C,Q108b,Price reduced fat meatloaf,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q108c,Oz reduced fat meatloaf,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q108d,Fat grams reduced fat meatloaf,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q108e,Kcal reduced fat meatloaf,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q109,Comments reduced fat meatloaf,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q110a,Brand regular lasagna,Integer,255,"1=Stouffers, 2=Banquet, 3=Swanson, 4=other",No,Yes
Dataset One NEMS-C,Q110b,Price regular lasagna,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q110c,Oz regular lasagna,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q110d,Fat grams regular lasagna,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q110e,Kcal regular lasagna,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q111,Comments regular lasagna,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q112a,Brand regular roasted turkey breast,Integer,255,"1=Stouffers, 2=Banquet, 3=Swanson, 4=other",No,Yes
Dataset One NEMS-C,Q112b,Price regular roasted turkey breast,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q112c,Oz regular roasted turkey breast,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q112d,Fat grams regular roasted turkey breast,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q112e,Kcal regular roasted turkey breast,Numeric,255,?1,No,Yes
Dataset One NEMS-C,Q113,Comments regular fat roasted turkey breast,Text,255,unlimited,No,Yes
Dataset One NEMS-C,Q114a,Brand regular meatloaf,Integer,255,"1=Stouffers, 2=Banquet, 3=Swanson, 4=other",No,Yes
Dataset One NEMS-C,Q114b,Price regular meatloaf,Numeric,255,Currency ($),No,Yes
Dataset One NEMS-C,Q114c,Oz regular meatloaf,Numeric,255,?1,No,Yes
